"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-01",,"34","22","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-02",,"33","30","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-03",,"37","29","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-04",,"43","31",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-05",,"47","37",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-06",,"44","34",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-07",,"40","24","    1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-08",,"29","17",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-09",,"33","27","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-10",,"35","26",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-11",,"33","26","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-12",,"30","20",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-13",,"30","25",,,,"    1","    1",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-14",,"38","27",,,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-15",,"36","31","    1",,,"    1",,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-16",,"51","34","    1",,,"    1",,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-17",,"34","22",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-18",,"30","24","    1","    1",,,"    1","    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-19",,"33","28","    1",,,,"    1","    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-20",,"35","26",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-21",,"37","24",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-22",,"39","32","    1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-23",,"45","36",,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-24",,"54","39",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-25",,"50","40",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-26",,"45","33",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-27",,"50","38","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-28",,"45","41","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-01",,"49","31","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-02",,"33","21",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-03",,"52","32",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-04",,"45","27",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-05",,"37","23",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-06",,"34","29",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-03-07",,"41","29",,,,,,
